Rut,Nombre
,¿Qué Buscas? 
776904309,Mikai Sushi Bar 
763216349,COMERCIAL FRANCISCO JAVIER GONZALEZ BUSSENIUS E I R L 
763310418,Café Santín 
763097854,24/7 Sushi 
763319970,PRODUCTORA SEBASTIAN ANDRES OSORIO LAFONTAINE E.I.R.L. 
762844877,RODRIGO PIZARRO GASTRONOMIA PATAGONICA E.I.R.L. 
769659307,Open Wine 
764157133,Restaurante Yachting Papudo 
76072758K,ASESORIAS E INVERSIONES SANTO DOMINGO LIMITADA 
762699966,Fix Café 
760856851,Pop and Rolls 
782116606,GUTIERREZ Y SEPULVEDA LTDA 
967686905,Inmobiliaria Basilicata S.A 
782165100,INMOBILIARIA E INVERSIONES TACORA LIMITADA 
773415900,Palustran Franquicias Limitada 
760987735,Ozaki 
760648523,Parrilladas A La Argentina Rotonda Perez Zujovic Limitada 
761503847,SOCIEDAD DE INVERSIONES CB LIMITADA 
761771817,SOCIEDAD DE INVERSIONES Y GASTRONOMICA CARRASCO & JEREZ LIMITADA 
763320030,Di Pietro Pizza 
762258722,URETA Y COMPANIA LIMITADA 
761820877,Alimentos Y Bebidas Wang Limitada 
768474400,Asesorias E Inversiones Ailime Ltda 
765269504,Cados Gastronomia Limitada 
,¿Qué Buscas? 
52000596K,COMERCIAL CAIMEI CHAI MA E I R L 
773666105,Comercializadora De Alimentos Limitada 
769046801,Sr. Miyagi 
762824132,Contenedor Breakfast & Lunch 
799880903,ESTABLECIMIENTOS ALIMENTICIOS LIMITADA 
965482709,Fuente de Soda Il Carpaccio S A 
762608979,Bushido Las Condes 
774559507,Gastronomica Japonesa Limitada 
76277545K,Gastronomica Taim Spa 
761762265,Inversiones Comesano S.A 
760580783,Ewok 
761346989,INVERSIONES Y COMERCIAL TEMPLE LIMITADA 
533123961,Lam Lee Hang Ying Y Otra 
762483297,Lin Shuxiang Comercial Limitada 
763774627,Tratoria Don Vito 
888668004,Restaurant Chunghwa Ltda. 
762278332,Restaurant Fogon Patagonico Limitada 
763218546,REW SPA 
76292210K,The Gaon 
762715015,Sociedad De Inversiones E Inmobiliaria Gomez Y Muller Limitada 
760343625,Sociedad De Inversiones Sinatras Limitada 
761715364,Sur Eventos Limitada 
815215001,Maison de France 
78633070K,Restaurant Tai Pan 
798467506,Restaurant Shoo
760830240,Pepino´s Restaurant 
780983000,Bavaria 
760410608,Chinese Gourmet Limitada 
768020906,Com Vecinal Ltda 
761527533,Eliana Guerrero Y Compania Limitada 
781072907,Gastronomia y Eventos Tatingers Limitada 
762703955,Gastronomicas Las Condes Limitda 
969332701,Restobar Karaoke Puerto Marisko 
760297763,INVERSIONES GASTRONOMICAS SANTA TERESA LIMITADA 
787347401,Pizza Napoli Costanera 
762825805,It Sandwich y Bar 
795883800,La Tasca de Altamar 
766801609,Irusushi Delivery 
760597775,SOCIEDAD COMERCIAL ENNIKA SPA 
76136121K,Sociedad Sellan Bascur Limitada 
795853502,La Leona Pizza 
777859307,Zuki Las Condes 
760309311,Alimentos Pomona S.A. 
761735780,ALIMENTOS SO DELICIOUS LIMITADA 
762691310,Comercial Simja Limitada 
,¿Qué Buscas? 
760607398,Exportadora Y Gastronomica Las Araucarias Limitada 
965543201,Flannery's Irish Geo Pub 
761181645,Bali Hai 
76629930K,Tierra Noble 
762965496,JUSTPEOPLE S.A. 
762250403,Piola 
76784560K,CENTO LIRE STADIO ITALIANO 
969459507,Pardo's Chicken 
789267707,Salon de Belleza Foeldes Hermosilla y Torres Ltda 
761050923,Rocoto 
761374621,Burgers Beers And Boards 
77563720K,Kitcheng 
968483005,Piola Las Condes 
760881309,Cafeteria The Crepe 
769342907,Fuente Chilena 
869130001,Da
764528107,Establecimientos Gastronomicos Torres S.A. 
76039341K,Caprese Mirador del Alto 
762308576,GASTRONOMIA ITALIANA SPA 
763766381,INVERSIONES FSA LIMITADA 
760393452,Mamma Mia! 
761365835,Madam Tusan Spa 
807864009,Palacio Danubio Azul 
76353510K,Restaurant Isidora 
774465006,Happening 
763291618,Mizu Sushi Bar 
829764008,Restoran Pinpilinpausha 
760730866,Rodmi S.A. 
762172143,Siete Tenedores Spa 
776480401,Tip y Tap 
787337007,Tip y Tap 
773141401,Tip y Tap 
78266090K,Tip y Tap 
81300500K,Le Due Torri 
763801500,Sushiban 
760572322,Tanta 
968846507,Pizza Hut 
760086436,Mundo Dreams 
78542610K,Giser S.A. 
760236063,La Perla del Pacífico 
,¿Qué Buscas? 
,¿Qué Buscas? 
761398032,Consorcio Aeroportuario De Calama S.A. Sociedad Concesionaria 
761054643,Cuatro S.P.A. 
760801356,Johnny Rockets 
769296700,Pizzeria Tiramisu Limitada 
760086274,Mundo Dreams 
,¿Qué Buscas? 
769529705,Pollo Stop 
51021630K,Palma Valenzuela Dina Ester Y Otras 
765483921,SOCIEDAD GASTRONÓMICA LA JARDINERA SANTIAGO LIMITADA 
760384542,El Ajicito Vip 
761692011,SOCIEDAD GASTRONOMICA A Y S OTAI LIMITADA 
760612561,Sushiro Sushi 
76423877K,FOOD LOVERS SPA 
765063531,Portada del Sol 
864810004,GASTRONOMIA JOSE FIDEL SOBREVILLA CARLINO E.I.R.L. 
763936562,Taypa 
761678507,Xiong Chang 
762257882,ICAZA MARIN LIMITADA 
762365065,INVERSIONES MANE DOS LIMITADA 
760718424,Inversiones Santa Micaela Limitada 
533108091,LUIS ALBERTO PEREZ FUENTES Y OTRA 
777689002,Masitas Alimentos Limitada 
775968702,RESTAURANT YIN JO LIMITADA 
763196437,SOCIEDAD GASTRONOMICA SOTOVEJAR LIMITADA 
763690105,Club Rock & Guitarras 
760284378,Bar el Atico 
762234297,COMERCIALIZADORA VITTORIO Y COMPANIA LIMITADA 
760580228,Akai Sushi 
764579038,FIERROS SPA 
763287386,Restaurant Pisco Sour 
763094456,Wallo´s Pizza 
774460500,Flor Oriental 
795209107,Restaurant Walhalla 
762920948,KAHUIN PRODUCCIONES LIMITADA 
762373084,Mexicana Restorant 
760866857,Restaurante Sushi Mei 
505286200,Roisar 
76379346K,Casa Blanca Colombiana 
767316402,Restaurant Delivery Wong TIng 
770772907,Fono Pizza Ñuñoa
760299952,Comercializadora Integral S.A 
762093677,DACESARE RISTORANTE PIZZERIA LIMITADA 
760677035,Restaurant Vinotauro 
760895873,Eventos Y Gastronomia Jahm Limitada 
510114108,Banquetería de Niro 
762630354,MARIO CHONG Y CIA LIMITADA 
766865704,Kudasaru Restaurant 
782911007,Restaurant Hua Xing 
789884900,Restaurant Lung
775098201,Entre Tongoy & Los Vilos 
763270106,Café 
777888404,D' Fenix Bar 
776207403,Servicios Alimenticios Laura Uribe Mejias E I R L 
843354009,San Remo Restaurant 
761584669,La Greda Restaurant 
762372061,Sociedad De Comida Rapida Puga Y Compania Limitada 
786176409,La Taverna Della Piazza 
761033107,Comercial Montana China Limitada 
763206831,Proboca 
763919897,Mamakuna Restaurante Peruano 
761730584,Don Peyo Restaurant 
761967347,Restaurant Casa Oriental 
762298457,ONOMICHI NIKKEI SPA 
520027890,Guris Los Leones 
762305380,PYMC SPA 
771989403,Restaurant Kun San Ltda. 
760280267,Restaurant Lung Tu Y Compania Limitada 
760882607,Paréntesis 
762963434,Sociedad Comercial Ultraken Limitada 
762735164,Sociedad Gastronomica Dica Limitada 
761070258,PACHAMAMA 
76040246K,BANQUETERA Y EVENTOS ARKANOS LIMITADA 
761988190,Cevichería Peruana Brisas del Mar 
761173588,"Hugo Fernando Cordova Sepulveda, Servicios De Restaurant, Bar, Club De "
761475568,Warique 
,¿Qué Buscas? 
761032178,Inversiones Cajamarca Limitada 
825832009,Fuente Suiza M.R. 
76108786K,Bis Spa 
