Rut,Nombre
786626609,Restaurant Fogón Los Tocones de Pelluco 
762884321,Ros & Albarrn Compaða Limitada 
510193903,Restaurant Posada Stop Chinquihue 
765309158,Hotel Castellano 
762793911,REINBERG RESTAURANTES GASTRONOMIA Y COMIDAS E.I.R.L. 
763091112,ELGUETA Y CASTRO LIMITADA 
76224229K,RESTAURANTE ANA EDITH SANDOVAL VIVANCO E.I.R.L 
768839808,Canchas Sinteticas la Vara 
761322761,Fogon del Huaso 
760836222,Comida Tipica Chilena Restaurant Ilque 
762457199,JUAN CARLOS OJEDA OJEDA RESTAURANT E.I.R.L 
533047661,Wampus SushiBar 
761984144,SERVICIOS GASTRONOMICOS SALVADOR ANDRES COCHIFAS CABRERA EMP 
760225908,Restaurant
766162207,Restaurant y Pizzerías Di Piazza 
763730492,COMERCIAL D&R LIMITADA 
762021587,GASTRONOMIA E INVERSIONES MARBUR LIMITADA 
762206145,GASTRONOMIA TURISMO Y SERVICIOS JM SPA 
76085901K,Rincón De Don Lomo Donde Raúl 
76406870K,Restaurant Embassy 
763687716,TRAPANANDA RESTAURANTE LIMITADA 
775881704,INVERSIONES ILQUE LIMITADA 
76067303K,RUTA GASTRONOMICA Y CERVECERIA ZONA CENTRAL S A 
761455591,SOCIEDAD COMERCIAL PEREZ Y CARDENAS LIMITADA 
766806201,Sociedad Gastronomica Austral Limitada 
776349909,Restaurante Club Aleman 
761146580,SOCIEDAD GASTRONOMICA OLIVA SPA 
779871908,Tablón del Ancla 
768308500,SOCIEDAD HOSTELERA MARICEL LTDA 
761876880,PARQUE DE ENTRETENCIONES ISLA MAGICA DEL SUR SPA 
76055216K,Pub Restaurant Kalimba 
761553240,TRANSPORTE Y TURISMO HECTOR ELGUETA E.I.R.L. 
762018632,GASTRONOMICA CLAUDIO ANTONIO LINDH ARCE EMPRESA INDIVIDUAL D 
777811606,SOC COMERCIAL OJEDA LIMITADA 
775279109,Maribel Proboste 
761182471,CLUB ORQUIDEA SOCIEDAD DE RESPONSABILIDAD LIMITADA 
762701340,SOCIEDAD GASTRONOMICA LA OLLITA SPA 
761601660,SOCIEDAD GASTRONOMICA PLAZA LIMITADA 
802085001,Club Alemán Puerto Varas 
760367745,Restaurant Bravo Cabrera 
768942307,MINIMARKET RONY RAMON ALVARADO MESSER EIRL 
760420735,MW SERVICIOS DE ALIMENTOS LIMITADA 
760553417,La Marca 
764193768,Chí Mon 
762780909,Centro de Eventos y Restaurant El Rancho de Huechuraba 
760147982,Office Sandwich 
763216713,Maldito Jefe 
764589335,Wok 
763672557,Green Hood 
76284947K,K
761975927,Restaurante Casa Mia 
760695459,Lucky House 
760492558,GEORGES S A 
763372812,Chimis 
99598590K,La Luz S A 
969895501,La Miga Sanguchería 
781760501,Soc De Turismo Perrotta Limitada 
762848996,Restaurant Delicia Oriental 
,¿Qué Buscas? 
796925906,Génova 
787933602,Casino Express 
