Rut,Nombre
761551183,Restaurante Aji Amarillo 
762318806,Rubik Restobar 
76126799K,SALINAS Y CARRASCO LIMITADA 
762996723,Servicios E Inversiones Rjrp Limitada 
761489917,Servicios Gastronomicos Claudia Paola Fuentes Ramirez E.I.R.L 
776116203,Soc Comercial Y Administradora De Restaurantes Valeana Limitada 
762541009,Punto Rojo 
760616702,Bar Restaurant Ummo 
767855907,Bon Cafe Restaurant 
764388011,Restaurant Centre Catalá 
762617285,Ponte Vecchio Caffé 
760444995,Sociedad Dardignac Limitada 
760719021,Calamar 
763274047,Sociedad Gastronomica E Inversiones Santa Monica S.A. 
761832050,SOCIEDAD GASTRONOMICA LOBOVSKY BASIC SPA 
761123041,Piu Pizza 
763847675,La Chola 
762273187,Ciudadela Sangucheria Gourmet 
763119793,Casa de Cena 
531530500,Rapa Nui 
773139008,Restaurant de Comida Casera La Taguara 
533085466,Zheng Mingqin Y Otro 
761845446,Restaurant Sangucados 
779614603,Gennaro´s 
762487977,Anriquez Y Carvajal Limitada 
776914908,Café Lyon 
762538849,Damis Restaurant 
761220683,Dalai Lomo Restaurant 
76155350K,Eccolo Qua 
520027327,Teatro Ladrón de Bicicletas 
763093360,Carta Magna Spa 
761416332,Ck Administradora De Franquicias Limitada 
760618829,Ritual Resto Bar 
760113271,Cadaques 
763548406,Pikada Pizzas y Empanadas 
76181804K,COMERCIAL GASTRONOMICA RICARDO AGUIRRE COVENA EIRL 
763385868,Sushi Royal 
763852555,The Pizza Factory 
883993004,La Pizza Nostra 
774636609,Comercializadora Gajardo Y Compania Limitada 
762593246,The White Rabbit 
760226564,Muqueca 
762556928,Brasserie Petanque 
965110801,El Rey del Lomito 
,¿Qué Buscas? 
761880942,Restaurant Pachakama 
763840263,Teclados 
761045679,Bushido Bilbao 
763659127,Ruca Bar 
763389995,Pipeño Restaurante 
762337746,IMPORTADORA Y COMERCIALIZADORA GASTRONOMICA ERDEMIR FORNO SPA 
762484935,INVERSIONES FERNANDEZ Y BLASCO LIMITADA 
763900436,INVERSIONES SAN RAFAEL LIMITADA 
776145009,Larrain Y Compania Limitada 
771616305,Lugano 
762965755,Loffel 
760774030,Los Maestros Pizzeros Limitada 
968968904,Louisiana Restaurant 
76111672K,PIO DAR INVERSIONES LIMITADA 
762086964,RESTAURANT BERSAU LIMITADA 
762631962,Restaurant Y Comercializadora Takuro Tomita E.I.R.L 
777711202,RESTAURANTE LA PALMERA LIMITADA 
760768995,Restaurante Qixiong Du E.I.R.L 
762440016,Rey Toro S.A. 
76166803K,Seppi Spa 
760907669,SERVICIOS ALIMENTICIOS Y COMERCIAL UNICO PIZZA DE RESPONSABI 
76141500K,Arcano Bar 
760362611,Landó Restaurant 
761992317,SERVICIOS GASTRONOMICOS Y TURISTICOS AVELLANEDA SPA 
762723670,Pez de Oro 
762543001,Buenos Chinos 
777265806,Restaurant Lung Yu 
763723933,SOCIEDAD DE INVERSIONES GASTRONOMICAS ALTO BILBAO LIMITADA 
761789430,Lizarran 
761304615,Viva la Vida 
806858005,Munich Sanguchería 
797235407,Vicious Pub Restaurant Limitada 
968677705,Café Terraza 
760938785,Alimentos Oriente Limitada 
761391623,Barbazul Tobalaba 
775362308,Café Bokato 
885795005,Carrousel Restaurant 
700180905,Caleuche 
760244481,Bar Restaurant Hong Loc 
761839942,Comercial Juan y Medio SPA 
761388517,Comercial Olan Limitada 
533064345,Pasta Pazza Trattoria 
762711834,Fire Chile Spa 
761237098,Peru Gustoso 
762496526,Alto Japon 
763219089,Gastronomica Corcolen Limitada 
761839179,Sol del Inca 
762641283,Restaurant La Percanta 
760917559,Tavelli 
761859161,El Templo del Inka 
761676512,Teclados 
79808500K,La Vera Pizza 
766879004,Peyo Restaurant 
76309622K,Teclados 
762038773,Lillo Y Angel Limitada 
761202723,MARDEFONDO SERVICIOS GASTRONOMICOS SPA 
763190595,Matilde Producciones Limitada 
760507032,La Bota 
787554504,Pizza Napoli 
785264509,Pizzeria Navona 
760835935,Plaza Victoria Spa 
762100320,Lusitano Restaurant Y Café 
763265005,Santa Pizza 
969015803,Schopdog 
995194805,Rap Veintiseis S A 
762167107,Restaurant Alto Perú 
762524805,Dómenica Tradición Italoargentina 
