Rut,Nombre
76308633K,SOCIEDAD GASTRONOMICA MEGO LIMITADA 
760110558,Sociedad Gastronomica Primos Limitada 
760994243,Sociedad Hotelera E Inversiones En General Soto Y Ulloa Limitada 
764313305,Sociedad Importadora Y Exportadora Sunny World Limitada 
76668260K,Restaurant Victoria de Comida Peruana 
760534781,Tpuro 
761057952,La Comilona Restaurant 
760809950,World Wide Chile Servicios Interculturales Limitada 
762156113,Zhou Huang Y Compania Limitada 
760648027,Agapes Restauracion Limitada 
760616257,"Alfaro,Llerena Y Cieza Limitada. "
96773330K,Restaurant Asturias 
763084221,BAR CRISTIAN HERNAN PACHECO VASQUEZ E.I.R.L 
800840007,Pizzería Iberica 
760894737,BAREM S A 
76429260K,Café Bistro de la Barra 
784940209,Centro de Eventos Bulnes 
700117200,Centro de Eventos Círculo de Suboficiales de las F.F.A.A. 
76230922K,Comercial Jiang Nan Limitada 
763604551,COMERCIAL LONG HUI LIMITADA 
760688215,COMERCIAL MARTINEZ Y MEZA LIMITADA 
761749781,Sociedad Dacic Limitada 
899148002,Restaurant el Caballero Carmelo 
789453403,Pailas Blanca 
762320606,Establecimientos Manina Limitada 
762478668,Eventos Y Gastronomia Del Grupo Kuvasz S.A. 
878208005,FU HUANG Y COMPANIA LIMITADA 
803786003,II Vesuvio Pizzeria 
761933736,Gastronomia Rgr Tres Limitada 
763241432,Shinishi Sushi Bar 
768013608,Gastronomica Burdeos Ltda 
777728709,Teatro Café 
780235705,Pailas Blanca 
761760653,INVERSIONES GUZMAN DOTE LIMITADA 
761328298,Kento Sushi 
967941301,Capricho Español 
760652997,Squella Restaurant 
760346802,Tokyo Sushi 
762060302,Las Tres Jotas 
533098460,Lin Xiuyun Y Otros 
533008623,LU ZHENLONG Y OTROS 
760052078,Club Santiago 
500024208,Martinez Zarzuela Daniel Y Otro 
501083909,MAULEN RASSE JUAN Y OTROS 
763003744,Merced Flg Spa 
776517801,N Y D COMERCIAL LIMITADA 
761245538,Restaurant Los Hijos del Inca 
761203738,Pimienta S.A. 
762463822,Restaurant Albedrio Y Compania Limitada 
762629240,Restaurant Gelsia Matus Munoz Eirl 
798068504,Restaurant Lung San y Compañía Limitada 
807868004,Restaurante Faisan Dor 
780338008,Restaurant Unión 
762603535,RESTAURANTE MONJITAS SPA 
760911275,Restaurante Sheng Xing Limitada 
760558834,Restaurante Y Servicios Gastronomicos Oishii Spa 
762069415,Kaoru Sushi 
760229989,Restaurant Alpamayo Ltda. 
760220906,Figueroa 
768432805,La Cabaña del Inca 
773504601,SOC COMERCIAL LO ABARCA LIMITADA 
899573005,Restaurant Parrilladas El Cordobes Ltda. 
765687306,Lucia Bistró 
788802609,Baños Turcos Riquelme 
761573721,"Sociedad Administradora Gastronomica Sociedad Anonima, "
76129167K,Sociedad De Inversiones Y Esparcimiento Orixas Limitada 
76393120K,Platipus 
76229091K,Sociedad Gastronomica Depelicula Limitada 
771978908,Sordo Figueroa y Compañía Limitada 
760998109,Adria Sushi 
761997335,TURISMO ESPEJO DE MARES Y COMPANIA LIMITADA 
800311004,Restaurante Unión 
883890000,Palacio Imperial Lung Fung 
760204595,Zabo Gastronomía Limitada 
783741903,Donde Zacarias 
77137820K,Alerce Andino Expediciones 
762117681,ASTE MACELLARI SPA 
779647404,Confiteria Torres 
798122207,Buona Pizza Limitada 
836830008,Café Derby Ltda. 
995697602,Campbell & Jones Spa. 
966691301,Squadritto Ristorante 
763324273,Comercial M Y F Limitada 
76217913K,Comercializadora De Alimentos R&B Limitada 
763298310,COMPANIA GENERAL DE RESTAURANTES SPA 
767814801,DELGADO ESCOBAR Y CIA LTDA 
761891499,Efege Dos Limitada 
771015808,El Comedor 
760103985,Establecimientos Gastronomica Del Centro Limitada 
826645008,Fuente de Soda Prosit Ltda. 
881708000,Fuente de Soda Puerta del Sol Limitada 
796424605,Chiquito 
770447402,La Picada de Clinton 
762551594,GASTRONOMIA BRAZUCA SPA 
763407225,GASTRONOMIA CARITO Y ALEJANDRO LIMITADA 
762015471,Gastronomia Chota Sociedad De Responsabilidad Limitada 
761116916,Gastronomia Los Cipreses Limitada 
761740954,Gastronomia Purreva Limitada 
851827005,Restaurant Hao Hwa 
775521201,Industrial Y Comercial Monte Pinar Limitada 
787848702,Bar Restaurant Dos y Dos 
761833340,INVERSIONES HOYO 19 LIMITADA 
762509571,Inversiones Inmobiliarias Y Gastronomicas San Martin Limitada 
995466708,Inversiones Mangosta S.A. 
761183095,Inversiones Perez Y Perez Ltda 
763370399,Santiago Sushi 
779865207,Bar Restaurante Don Victorino 
769558608,Blue Jar 
967713805,Schopdog 
780785500,Rap Tres S.A. 
760805408,Raquel Vargas Y Compania Limitada 
780938005,Restaurant Kun Cheng y Compania Limitada 
761217984,RESTAURANT LA CITTA DOS S.A. 
763920046,Casa Valerio Pan Restaurant Peruano 
76094985K,Diego´s Restaurantes 
761189220,Donde Los Torres Restaurant 
788144709,Kintaro 
760670634,Urriola 
858108004,Restaurant Japón 
